Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-05-26,Challengers,2024,https://boxd.it/6xZQRD,5,,,2024-05-13
2024-05-29,Poor Things,2023,https://boxd.it/6zmWlD,3.5,,,2024-05-15
2024-05-26,Dune: Part Two,2024,https://boxd.it/6xZWBL,5,,,2024-05-23
2024-05-26,The Iron Claw,2023,https://boxd.it/6xZYhN,5,,,2024-05-24
2024-05-26,The Idea of You,2024,https://boxd.it/6xZTRL,3.5,,,2024-05-25
2024-05-26,Anyone But You,2023,https://boxd.it/6y0UBV,2.5,,,2024-05-25
2024-05-29,Mad Max: Fury Road,2015,https://boxd.it/6zmBXV,5,,,2024-05-27
2024-05-29,Singin' in the Rain,1952,https://boxd.it/6zmYPv,4.5,,,2024-05-28
2024-06-02,Falling in Love,1984,https://boxd.it/6B0ahH,3,,,2024-05-31
2024-06-02,Cast Away,2000,https://boxd.it/6B1zhf,4,,,2024-06-01
2024-06-09,Hit Man,2023,https://boxd.it/6DA1i7,4,,,2024-06-07
2024-06-09,The Sound of Music,1965,https://boxd.it/6DGyyf,5,,,2024-06-08
2024-06-09,"Hello, Dolly!",1969,https://boxd.it/6DJSaj,3,,,2024-06-08
2024-06-10,Funny Girl,1968,https://boxd.it/6Eagd9,4.5,,,2024-06-08
2024-09-01,The Girl with the Dragon Tattoo,2011,https://boxd.it/7epDEr,5,,,2024-09-01
2024-12-10,Die Hard,1988,https://boxd.it/80XuMr,4,,,2024-11-20
2025-01-20,Things We Lost in the Fire,2007,https://boxd.it/8xPhAD,4,,,2025-01-19
2025-01-20,Bounce,2000,https://boxd.it/8xPozx,3,,,2025-01-19
2025-01-25,The Wild Robot,2024,https://boxd.it/8B9MzN,5,,,2025-01-24
2025-01-25,Barb & Star Go to Vista Del Mar,2021,https://boxd.it/8BxYVp,4,,,2025-01-25
2025-01-25,Dinner in America,2020,https://boxd.it/8BBNfF,4,,,2025-01-25
2025-02-15,What Happens in Vegas,2008,https://boxd.it/8PWyvB,3,,,2025-02-14
2025-02-15,White House Down,2013,https://boxd.it/8PWEWt,2,,,2025-02-14
2025-02-15,"Corrina, Corrina",1994,https://boxd.it/8Q0hXB,3.5,,,2025-02-14
2025-02-15,While You Were Sleeping,1995,https://boxd.it/8Q0TAP,5,,,2025-02-14
2025-02-16,Hope Floats,1998,https://boxd.it/8QsF4L,3,,,2025-02-15
2025-02-17,Secretary,2002,https://boxd.it/8Rgu0X,3,,,2025-02-16
2025-02-17,Moonstruck,1987,https://boxd.it/8Rim0p,5,,,2025-02-16
2025-02-17,Waiting to Exhale,1995,https://boxd.it/8RoXMx,5,,,2025-02-16
2025-02-23,The Owl and the Pussycat,1970,https://boxd.it/8VsPH9,3.5,,,2025-02-22
2025-02-23,"What's Up, Doc?",1972,https://boxd.it/8VwmsR,5,,,2025-02-23
2025-02-25,The Bridges of Madison County,1995,https://boxd.it/8WSRaR,4,,,2025-02-24
2025-03-01,Unknown,2011,https://boxd.it/8Z41ML,2.5,,,2025-02-28
2025-03-02,Jerry Maguire,1996,https://boxd.it/8ZmGVb,4,,,2025-02-28
2025-03-01,Traitor,2008,https://boxd.it/8Z7MvN,2.5,,,2025-03-01
2025-03-01,When Harry Met Sally...,1989,https://boxd.it/8Z9pBd,5,,,2025-03-01
2025-03-04,Fear,1996,https://boxd.it/90UgIH,3,,,2025-03-03
2025-03-04,The Apartment,1960,https://boxd.it/90Yy8Z,4,,,2025-03-03
2025-03-08,Erin Brockovich,2000,https://boxd.it/93so21,5,,,2025-03-07
2025-03-08,Spy,2015,https://boxd.it/93wBFD,5,,,2025-03-07
2025-04-18,Everything Everywhere All at Once,2022,https://boxd.it/9rhD6B,4.5,,,2025-04-17
2025-04-23,Sinners,2025,https://boxd.it/9uMJFB,4.5,,,2025-04-22
2025-05-03,Cloudy with a Chance of Meatballs,2009,https://boxd.it/9Ao6sT,3.5,,,2025-05-02
2025-05-26,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/9OcCbR,4,,,2025-05-26
2025-05-31,Captain America: Brave New World,2025,https://boxd.it/9RcJ67,3,,,2025-05-30
2025-06-05,One of Them Days,2025,https://boxd.it/9UkRcb,4,,,2025-06-04
2025-07-05,Love Accidentally,2022,https://boxd.it/adsnH1,2.5,,,2025-07-04
2025-07-05,Picture This,2025,https://boxd.it/adx9Ub,3.5,,,2025-07-04
2025-07-05,Simply Irresistible,1999,https://boxd.it/adE3kb,3,,,2025-07-04
2025-07-05,The Thomas Crown Affair,1999,https://boxd.it/adIVK1,4,,,2025-07-04
2025-07-06,Taxi,2004,https://boxd.it/ae34ah,3.5,,,2025-07-05
2025-07-07,Ford v Ferrari,2019,https://boxd.it/aeNt4Z,4.5,,,2025-07-06
2025-07-07,Fight Club,1999,https://boxd.it/aeUq55,,,,2025-07-06
2025-07-08,Jurassic World Dominion,2022,https://boxd.it/afZDuB,3,,,2025-07-07
2025-07-16,Confessions of a Shopaholic,2009,https://boxd.it/am225z,4,,,2025-07-16
2025-08-26,Eenie Meanie,2025,https://boxd.it/aRNcMB,3.5,,,2025-08-25
2025-08-28,Can You Keep a Secret?,2019,https://boxd.it/aT03IF,2,,,2025-08-27
2025-09-19,Second Act,2018,https://boxd.it/b6Q3Sh,3,,,2025-09-18
2025-09-28,Opus,2025,https://boxd.it/bcog1X,3,,,2025-09-27
2025-09-29,A Wrinkle in Time,2018,https://boxd.it/bd9Ds7,1.5,,,2025-09-28
2025-10-02,The Naked Gun,2025,https://boxd.it/beRqVd,3.5,,,2025-10-01
2025-10-04,Pretty Woman,1990,https://boxd.it/bfROyL,4.5,,,2025-10-03
2025-10-14,Plus One,2019,https://boxd.it/bmIAav,3.5,,,2025-10-13
2025-10-15,The Favor,1994,https://boxd.it/bn2Uip,3,,,2025-10-13
2025-10-15,Take Care,2014,https://boxd.it/bn37MH,3.5,,,2025-10-14
2025-10-16,The Accidental Husband,2008,https://boxd.it/bnOJnf,2.5,,,2025-10-15
2025-10-18,Mr. Wonderful,1993,https://boxd.it/boZ2H3,3,,,2025-10-17
2025-10-19,Almost Famous,2000,https://boxd.it/bpDzet,4.5,,,2025-10-18
2025-10-20,Stay the Night,2022,https://boxd.it/bqIQ2N,3,,,2025-10-19
2025-10-21,Cloudy with a Chance of Meatballs,2009,https://boxd.it/briEfR,4,Yes,,2025-10-20
2025-10-27,Superman,2025,https://boxd.it/bvdsUz,3.5,,,2025-10-26
2025-10-27,Babygirl,2024,https://boxd.it/bvjIJJ,2.5,,,2025-10-26
2025-10-27,Mickey 17,2025,https://boxd.it/bvsbR9,4,,,2025-10-26
2025-10-27,What's Your Number?,2011,https://boxd.it/bvx8Jh,4,,,2025-10-26
2025-10-28,Life As We Know It,2010,https://boxd.it/bvMCBd,3,,,2025-10-26
2025-11-15,Now You See Me,2013,https://boxd.it/bIjKtP,4,,,2025-11-14
2025-11-15,Jurassic World Rebirth,2025,https://boxd.it/bIm30V,1.5,Yes,,2025-11-14
2025-11-15,Now You See Me 2,2016,https://boxd.it/bIupu5,3,,,2025-11-14
2025-11-26,Thunderbolts*,2025,https://boxd.it/bQ8eCl,4,,,2025-11-25
2025-11-26,The Fantastic 4: First Steps,2025,https://boxd.it/bQd0QD,4,,,2025-11-25
2025-11-26,The Marvels,2023,https://boxd.it/bQnIfV,3,,,2025-11-25
2025-11-27,Spotlight,2015,https://boxd.it/bR0I0f,4,,,2025-11-26
2025-11-28,The Master,2012,https://boxd.it/bRCscv,3,,,2025-11-27
2025-11-30,Caught Stealing,2025,https://boxd.it/bSOcsF,4,,,2025-11-29
2025-12-01,Madame Web,2024,https://boxd.it/bTNe51,2,,,2025-11-30
2025-12-02,First Daughter,2004,https://boxd.it/bUqEXB,2,,,2025-12-01
2025-12-02,Me Before You,2016,https://boxd.it/bUti09,3,,,2025-12-02
2025-12-08,Drive Me Crazy,1999,https://boxd.it/bYdpZ3,4,,,2025-12-07
2025-12-11,Bride Hard,2025,https://boxd.it/c0mu4d,1.5,,,2025-12-10
2025-12-13,Waiting to Exhale,1995,https://boxd.it/c1ObCP,5,Yes,,2025-12-12
2025-12-15,The Philadelphia Story,1940,https://boxd.it/c3p4oz,4.5,,,2025-12-14
