Date,Name,Year,Letterboxd URI,Rating
2023-04-06,The Banshees of Inisherin,2022,https://boxd.it/p7XS,4
2023-04-06,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,5
2023-04-06,The Batman,2022,https://boxd.it/eDGs,3.5
2023-04-06,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4
2023-04-06,Glass Onion,2022,https://boxd.it/oCkK,5
2023-04-06,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,3
2023-04-06,Soul,2020,https://boxd.it/ioLA,4
2023-04-06,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,3.5
2023-04-06,Bullet Train,2022,https://boxd.it/qW26,2.5
2023-04-06,Thor: Love and Thunder,2022,https://boxd.it/mMAY,2
2023-04-06,Black Widow,2021,https://boxd.it/hWV8,2.5
2023-04-06,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,2
2023-04-06,Barbarian,2022,https://boxd.it/yohi,3
2023-04-06,The Suicide Squad,2021,https://boxd.it/fw6O,3
2023-04-06,Encanto,2021,https://boxd.it/kPRu,4
2023-04-06,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu,4.5
2023-04-06,Elvis,2022,https://boxd.it/mK4w,3.5
2023-04-06,Turning Red,2022,https://boxd.it/ipkq,5
2023-04-06,Luca,2021,https://boxd.it/ipjC,3
2023-04-06,Eternals,2021,https://boxd.it/j36o,3
2023-04-06,Palm Springs,2020,https://boxd.it/lCXQ,5
2023-04-06,Fresh,2022,https://boxd.it/tCNi,3
2023-04-06,The Mitchells vs. the Machines,2021,https://boxd.it/i7xm,5
2023-04-06,Wonder Woman 1984,2020,https://boxd.it/gBtA,1.5
2023-04-06,Do Revenge,2022,https://boxd.it/sFiA,3
2023-04-06,Shiva Baby,2020,https://boxd.it/oIv0,4.5
2023-04-06,Onward,2020,https://boxd.it/io92,2
2023-04-06,Loki,2021,https://boxd.it/sbHg,3
2023-04-06,The Gray Man,2022,https://boxd.it/rb7q,1.5
2023-04-06,Death on the Nile,2022,https://boxd.it/ifpg,1
2023-04-06,Moon Knight,2022,https://boxd.it/zeDq,2.5
2023-04-06,The Falcon and the Winter Soldier,2021,https://boxd.it/sbH6,2.5
2023-04-06,Red Notice,2021,https://boxd.it/ixtq,0.5
2023-04-06,Malcolm & Marie,2021,https://boxd.it/r5cO,0.5
2023-04-06,Hawkeye,2021,https://boxd.it/xQqK,2
2023-04-06,The Lost City,2022,https://boxd.it/sg0Q,4
2023-04-06,Happiest Season,2020,https://boxd.it/iS3I,3.5
2023-04-06,The Half of It,2020,https://boxd.it/m0T4,3
2023-04-06,The Woman King,2022,https://boxd.it/r9a8,5
2023-04-06,Space Jam: A New Legacy,2021,https://boxd.it/dd9A,1
2023-04-06,To All the Boys: P.S. I Still Love You,2020,https://boxd.it/kJny,3.5
2023-04-06,The Bob's Burgers Movie,2022,https://boxd.it/if7w,4
2023-04-06,Sing 2,2021,https://boxd.it/fAnE,4
2023-04-06,One Night in Miami...,2020,https://boxd.it/oCUo,3.5
2023-04-06,You People,2023,https://boxd.it/wJYe,1.5
2023-04-06,She-Hulk: Attorney at Law,2022,https://boxd.it/CjLK,2
2023-04-06,Holidate,2020,https://boxd.it/mLcc,2.5
2023-04-06,All the Bright Places,2020,https://boxd.it/bpfQ,4
2023-04-06,To All the Boys: Always and Forever,2021,https://boxd.it/mI1A,3.5
2023-04-06,Ms. Marvel,2022,https://boxd.it/ANCY,2.5
2023-04-06,Bad Boys for Life,2020,https://boxd.it/15pc,3
2023-04-06,Ticket to Paradise,2022,https://boxd.it/u8Cc,3
2023-04-06,He's All That,2021,https://boxd.it/bFbA,0.5
2023-04-06,The Kissing Booth 2,2020,https://boxd.it/lrky,0.5
2023-04-06,Fire Island,2022,https://boxd.it/vV8C,4
2023-04-06,Marry Me,2022,https://boxd.it/mLSC,1.5
2023-04-06,The Last Dance,2020,https://boxd.it/pVfc,3.5
2023-04-06,"Good Luck to You, Leo Grande",2022,https://boxd.it/stYk,4.5
2023-04-06,Unpregnant,2020,https://boxd.it/nrH2,4
2023-04-06,I Want You Back,2022,https://boxd.it/poyU,3.5
2023-04-18,BEEF,2023,https://boxd.it/FPsm,4
2023-04-18,Whiplash,2014,https://boxd.it/7bQA,4.5
2023-04-18,La La Land,2016,https://boxd.it/a5fa,4
2023-04-18,The Menu,2022,https://boxd.it/lScm,4
2023-04-18,Rye Lane,2023,https://boxd.it/DIyy,5
2023-04-18,Normal People,2020,https://boxd.it/q2VY,5
2023-04-18,If Beale Street Could Talk,2018,https://boxd.it/gGhu,4.5
2023-05-28,Mrs. Davis,2023,https://boxd.it/GJ1G,5
2024-01-03,The Holdovers,2023,https://boxd.it/vHza,4
2024-01-03,May December,2023,https://boxd.it/vEE2,4
2024-05-26,Challengers,2024,https://boxd.it/zld0,5
2024-05-26,The Idea of You,2024,https://boxd.it/vOW6,3.5
2024-05-26,Dune: Part Two,2024,https://boxd.it/pUfA,5
2024-05-26,The Iron Claw,2023,https://boxd.it/w5Pm,5
2024-05-26,Anyone But You,2023,https://boxd.it/EzA8,2.5
2024-05-29,Mad Max: Fury Road,2015,https://boxd.it/2DjO,5
2024-05-29,Barbie,2023,https://boxd.it/bCLK,3
2024-05-29,Poor Things,2023,https://boxd.it/tNWU,3.5
2024-05-29,Singin' in the Rain,1952,https://boxd.it/29oY,4.5
2024-05-29,When Harry Met Sally...,1989,https://boxd.it/29W2,5
2024-05-29,Two Can Play That Game,2001,https://boxd.it/1vLS,5
2024-05-29,Silver Linings Playbook,2012,https://boxd.it/2TTo,5
2024-06-02,Falling in Love,1984,https://boxd.it/yeA,3
2024-06-02,Cast Away,2000,https://boxd.it/20i8,4
