Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-01-14,Hairspray,2007,https://boxd.it/8sKEmp,5,,,2010-01-05
2026-04-14,Pitch Perfect,2012,https://boxd.it/dXVZAD,4,Yes,,2014-02-21
2026-04-14,Guardians of the Galaxy,2014,https://boxd.it/dXVu7F,5,Yes,,2015-07-17
2026-04-14,Strange Magic,2015,https://boxd.it/dXVsR7,4,Yes,,2018-06-13
2025-01-11,The Book of Life,2014,https://boxd.it/8q5dUp,5,,,2018-09-10
2026-04-14,Scott Pilgrim vs. the World,2010,https://boxd.it/dXW1zd,4,Yes,,2022-01-13
2026-04-14,Dune,2021,https://boxd.it/dXW3Q1,3.5,Yes,,2022-06-16
2026-04-14,The Half of It,2020,https://boxd.it/dXVFV7,4,Yes,,2023-08-18
2024-07-03,The Iron Claw,2023,https://boxd.it/6NfF43,4,,,2024-07-02
2024-07-03,Love Lies Bleeding,2024,https://boxd.it/6NfFg9,4.5,Yes,,2024-07-02
2024-07-03,Furiosa: A Mad Max Saga,2024,https://boxd.it/6NfFLL,3,,,2024-07-02
2024-07-03,Bottoms,2023,https://boxd.it/6NfG23,5,,,2024-07-02
2025-01-07,A Complete Unknown,2024,https://boxd.it/8lR9Ib,4.5,,,2025-01-06
2025-01-07,Mufasa: The Lion King,2024,https://boxd.it/8lRfMj,3,,,2025-01-06
2025-01-07,Kraven the Hunter,2024,https://boxd.it/8lRlkv,1.5,,,2025-01-06
2025-01-07,Moana 2,2024,https://boxd.it/8lRo2T,3.5,,,2025-01-06
2025-01-08,Gran Turismo,2023,https://boxd.it/8mzA5N,5,,,2025-01-07
2025-02-02,Companion,2025,https://boxd.it/8HmRwJ,3.5,,,2025-02-01
2025-02-02,Drive-Away Dolls,2024,https://boxd.it/8HAgUd,4,,,2025-02-01
2026-04-14,Dune: Part Two,2024,https://boxd.it/dXW33X,4,Yes,,2025-02-06
2025-03-15,Mickey 17,2025,https://boxd.it/97Ht8f,4,,,2025-03-14
2025-03-15,Opus,2025,https://boxd.it/97OPuB,3.5,,,2025-03-14
2025-04-19,A Minecraft Movie,2025,https://boxd.it/9rMBZV,3,,,2025-04-18
2025-04-19,Sinners,2025,https://boxd.it/9rMD3p,5,,,2025-04-18
2025-04-22,The Edge of Seventeen,2016,https://boxd.it/9ueTtn,3.5,,,2025-04-22
2025-10-06,Elio,2025,https://boxd.it/bhpaFJ,3,,,2025-07-16
2025-07-30,The Fantastic 4: First Steps,2025,https://boxd.it/axgcBx,4,,,2025-07-29
2025-07-30,Superman,2025,https://boxd.it/axgd1l,5,,,2025-07-29
2025-07-30,Death of a Unicorn,2025,https://boxd.it/axgexd,4,,,2025-07-29
2025-10-06,How to Train Your Dragon,2025,https://boxd.it/bhpc8H,3.5,,,2025-08-06
2026-04-14,Crush,2022,https://boxd.it/dXVEZR,4.5,Yes,,2025-08-14
2025-10-06,Honey Don't!,2025,https://boxd.it/bhp9al,2.5,,,2025-09-10
2025-10-06,One Battle After Another,2025,https://boxd.it/bhoYO5,4,,,2025-10-05
2025-10-06,The Smashing Machine,2025,https://boxd.it/bhp1z3,3.5,,,2025-10-05
2025-10-06,The Long Walk,2025,https://boxd.it/bhp29Z,3.5,,,2025-10-05
2025-10-06,Weapons,2025,https://boxd.it/bhp347,4.5,,,2025-10-05
2025-10-06,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,https://boxd.it/bhp41j,4,,,2025-10-05
2025-10-06,28 Years Later,2025,https://boxd.it/bhp5Up,3.5,,,2025-10-05
2025-10-06,KPop Demon Hunters,2025,https://boxd.it/bhp7b7,4,,,2025-10-05
2026-04-14,Saving Face,2004,https://boxd.it/dXVAzF,4,Yes,,2025-11-19
2026-04-14,Cosmic Princess Kaguya!,2026,https://boxd.it/dXVH4f,5,Yes,,2026-02-15
2026-04-14,D.E.B.S.,2004,https://boxd.it/dXVD6B,4,Yes,,2026-02-21
2026-04-02,Hoppers,2026,https://boxd.it/dMBZKT,4.5,Yes,,2026-03-04
2026-04-14,Imagine Me & You,2005,https://boxd.it/dXVvTZ,5,Yes,,2026-03-20
2026-04-14,I Can't Think Straight,2008,https://boxd.it/dXVCof,4,Yes,,2026-03-20
2026-04-02,Forbidden Fruits,2026,https://boxd.it/dMC205,3.5,Yes,,2026-03-29
2026-04-14,Lost and Delirious,2001,https://boxd.it/dXVv27,3.5,Yes,,2026-04-01
2026-04-14,Heathers,1989,https://boxd.it/dXVXtZ,4,Yes,,2026-04-13
