Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-05-26,Challengers,2024,https://boxd.it/6xZQRD,5,,#teamlily,,2024-05-13
2024-05-26,The Idea of You,2024,https://boxd.it/6xZTRL,3.5,,anne hathaway you’ve done it again! nicolas galitzine.. it seems i’ve grown quite fond of you,,2024-05-25
2024-05-26,Dune: Part Two,2024,https://boxd.it/6xZWBL,5,,"paul told chani he’ll love her as long as he breathes… so if chani was to kill him she wouldn’t be wrong! women’s stories matter, they just matter!",,2024-05-23
2024-05-26,The Iron Claw,2023,https://boxd.it/6xZYhN,5,,"in a perfect world, zac efron would be an EGOT winner",,2024-05-24
2024-05-26,Anyone But You,2023,https://boxd.it/6y0UBV,2.5,,glen powell i love to see you on my screen.. but this took me a week to finish,,2024-05-25
2024-05-29,Mad Max: Fury Road,2015,https://boxd.it/6zmBXV,5,,"your favorite action movie star’s favorite action movie. this movie is actually ridiculous in the best way possible. not a second or frame was wasted and nicholas hoult earned every last cent of his paycheck. absolutely ridiculous movie, like i was tuned in all two hours!",,2024-05-27
2024-05-29,Poor Things,2023,https://boxd.it/6zmWlD,3.5,,bella dizzy with excite!,,2024-05-15
2024-05-29,Singin' in the Rain,1952,https://boxd.it/6zmYPv,4.5,,"bring back painted back drops! bring back real dancers! this movie is just out of a story book, i loved it!",,2024-05-28
2024-06-02,Falling in Love,1984,https://boxd.it/6B0ahH,3,,"loved this movie, i think? something felt off about it but i couldn’t tell you what exactly that was",,2024-05-31
2024-06-02,Cast Away,2000,https://boxd.it/6B1zhf,4,,i don’t think i would’ve had to will to fight as hard as this man did omg?? shoutout wilson,,2024-06-01
2024-06-09,Hit Man,2023,https://boxd.it/6DA1i7,4,,"i remember first watching glenn powell as an astronaut in “hidden figures” and he was immediately charming and i said oh! he needs to be in a romcom.. “set it up” was great, anyone but you was! but this.. oh glenn you’ve outdone yourself! adria arjona, welcome you’re now one of my clients!",,2024-06-07
2024-06-09,The Sound of Music,1965,https://boxd.it/6DGyyf,5,,"so THAT’S what all the fuss was about, got it!",,2024-06-08
